名前	文明	種族	パワー	コスト	進化	効果	トリガー
暗闇に潜む者バット・ドクター	2	39	2000	3				
悪戯人形ハロ	2	42	2000	4			4	
崩壊の影デス・タギア	2	39	1000	5				
墓掘怪人アシッドフィスト	2	43	3000	5		1,9		
闘将バグザグール	2	40	5000	6				
黒神龍イゾリストヴァル	2	44	0000＋	6				
死皇帝アザガースト	2	40	9000	7	1	3		
呪縛の剣豪バロスト	2	41	6000	8		3		
ジージョのトンカチ	3	53	2000	3				
鳥神兵クウザ	3	52	1000＋	3		2		
猿神兵アッシュ	3	52	3000	4				
蒸神兵カイン	3	52	5000	4			2	
マウントザウルス	3	65	3000	5			4	
特攻隊長マイキー	3	58	1000	6		6	4	
ジョー・リザード	3	55	3000＋	6		2		
紅神龍オグリストヴァル	3	62	0000＋	7				
聖剣炎獣バーレスク	3	51	8000	9	1	3	4	
誕生の祈	4	75	2000	3			4	
大勇者「猛虎の怒り」	4	75	5000＋	4	1			
夢蒼の剛剣	4	75	3000	4				
怪力の化身	4	77	2000	4				
鼓舞の化身	4	77	4000	5				
ウィップ・スコーピオン	4	69	2000＋	5			1	
大昆虫ジェネラルマンティス	4	69	7000	5	1	3		
緑神龍アンリストヴァル	4	66	0000＋	6				
警護するソリッド・ホーン	4	76	5000	6				
驚天の超人	4	68	13000	8		5		
センチネル・ガード	0	0		2			1	
コズミック・ウイング	0	0		3				
セレブ・チャージャー	0	0		6		7		
サブマリン・プロジェクト	1	0		3			1	
サイバー・トンネル	1	0		5				
アナライズ・チャージャー	1	0		7		7		
ロスト・チャージャー	2	0		3		7		
生命剥奪	2	0		4				
ゾンビ・カーニバル	2	0		5			1	
無限掌	3	0		1				
フル・コマンド	3	0		3				
サウザンド・スピア	3	0		6				
強欲の開拓	4	0		3				
ソイル・チャージャー	4	0		4		7		
クリスタル・フュージョン	4	0		8				
凶星王ダーク・ヒドラ	2	40	6000	6		3		
ミラフォース・ドラゴン	3	62	8000	7				
予言者クルト	0	20	500	1				
聖騎士メタルサターン	0	21	2000	1		1		
聖天使グライス・メジキューラ	0	10	5500	2	1			
祝福の伝道師クレアル	0	17	1000＋	3				
曙の守護者パラ・オーレシス	0	12	2500	3		1		
雲海の守護者メッサ・バーナ	0	12	5000	3		1		
予言者カエミラ	0	20	1000	4		11		
粛清者リンダホフ	0	16	4000	4		11		
粛清者アイザク	0	16	4000	4		1		
粛清者ポルタレスタ	0	16	2000	5		1	1	
光器リュドミーラ	0	18	2000＋	5				
減罪の使徒レミーラ	0	10	3000	5				
光器ベロチカ	0	18	5000	5				
聖断の精霊エリクシア	0	11	1000＋	6				
粛清者ブルグラフ	0	16	4000	6		11		
雷珠の求道者ラ・バルザ	0	19	4000	8		1	1	
バッテリーヘッド・クラスター	1	26	3000	2		1		
クリスタル・ブレイダー	1	35	5000	2	1	1		
アクア・アナライザー	1	35	2000	3				
トリック・クラッカー	1	25	2000	3		11		
トーピード・クラスター	1	26	3000	3				
ルナ・イーグル	1	27	5000	3		1		
パールチェーン・バトラー	1	33	2000	4		1		
ミルポロ	1	28	3000	4		11		
ハーミット・フィッシュ	1	24	1000＋	5				
サイレント・マジシャン	1	33	3000	5				
パルタン	1	28	3000	5				
ハリケーン・クロウラー	1	22	4000	5				
エレキチューブ・マンタ	1	24	1000	6				
ルナ・ウイング	1	27	2000	6		11		
キング・オクアノス	1	34	2000＋	8				
ルナ・ブライトホーク	1	27	6000	8		3		
死劇人形ピエール	2	42	1000	2		1,9		
ベノム・カプセル	2	47	1000	2		11		
道化人形ミケ	2	42	2000	2		1		
困惑の影トラブル・アルケミスト	2	39	3000	2				
憔悴の影ブロークン・ヘッド	2	39	1000	3				
砂男	2	48	2000	3				
暴発秘宝ベンゾ	2	46	2000	4				
ギガメンテ	2	37	3000	4		11		
頭刃怪人グレイブクック	2	43	3000	4				
ポゼスト・マフラー	2	47	2000	5				
ギガンデュラ	2	37	3000	5				
衰弱秘宝デッドリーン	2	46	4000	5				
冥府の覇者ガジラビュート	2	41	3000	6				
妖舞皇女ユリア	2	40	5000	6				
邪悪の魔黒デビル・マーシャル	2	39	6000	6	1	3		
災厄秘宝ゲジラ	2	46	6000	6		3,11		
黒神龍ブライゼナーガ	2	44	9000	6		3		
砕神兵ガッツンダー	3	52	1000＋	2				
ボーグのリボルバー	3	53	2000	2		11		
爆神兵ザルメス	3	52	2000	3				
烈脚戦士ブラッド	3	58	2000	3		11		
クラッグザウルス	3	65	3000	3				
マイキーのペンチ	3	53	2000	4				
撃墜団長メッツァー	3	58	2000	4		6		
マインロード・ワイバーン	3	51	3000	4		11		
城神兵バガッシュ	3	52	3000＋	4				
バトルトラップ・ワイバーン	3	51	3000	5				
バーンメルト・リザード	3	64	4000	5				
機神装甲ガンダヴァル	3	58	6000＋	5	1	3		
テンペストザウルス	3	65	2000	6			1	
アルティメット・ドラゴン	3	50	5000＋	6		8		
コアクラッシュ・リザード	3	64	6000	7				
ガウレザル・ドラゴン	3	50	11000	9		3		
原始の棍棒	4	75	1000＋	2				
シャーマン・ブロッコリー	4	78	1000	2				
ブリーチ・トマト	4	78	2000	2				
ハッスル・ベリー	4	78	1000	2		11		
セイバーマスク・ビートル	4	69	4000	4			2	
ハナサキエリンギ	4	73	4000	4		11		
大勇者「鎖風車」	4	75	6000	4	1	3		
喜びの化身	4	77	1000＋	4				
マッスル・ポテト	4	78	1000	4			1	
シェル・レガシー	4	67	4000	5				
エコロバルーン・ビートル	4	69	4000	5				
賢察するエンシェント・ホーン	4	76	5000	5				
緑神龍クスダルフ	4	66	7000＋	5		3		
襲撃するサベージ・ホーン	4	76	2000＋	6				
天動の化身	4	77	7000	6		3		
緑神龍ダクマバルガロウ	4	66	1000＋	7				
不落の超人	4	68	12000	8		3		
電脳聖者タージマル	0,1	10,35	4000＋	3		1,12		
アクア・リバイバー	0,1	35	1000	4		1,12	1	
電脳聖霊グラリス	0,1	11,24	4000	4		12		
電脳聖者エストール	0,1	10,35	2000	5		12		
陽炎の守護者ブルー・メルキス	0,1	12	8500	6		3,12		
腐敗電脳メルニア	1,2	35,39	1000	2		2,9,12		
冷徹のソーダライト	1,2	8	4000	4		2,11,12		
腐敗電脳アクアポインター	1,2	35,39	2000	5		12		
覚醒のタンザナイト	1,2	8	9000	7		3,12		
不屈のウレックス	2,3	8	3000	3		12		
腐敗勇騎ドルマークス	2,3	39,58	4000	4		12		
腐敗勇騎ガレック	2,3	39,58	2000	5		12		
根絶のデクロワゾー	2,3	8	5000	6		12		
無頼勇騎ゴンタ	3,4	58,75	4000	2		12		
反発のタグタップ	3,4	8	3000＋	3		12		
無頼勇騎ウインドアックス	3,4	58,75	2000	5		12		
無双竜機ボルバルザーク	3,4	50,66	6000	7		3,6,12		
霊峰の守護者ルキア・レックス	4,0	12	2500＋	3		12		
無頼聖者サンフィスト	4,0	10,75	3000	3		1,12		
霊光の化身	4,0	77	5000	4		12		
無頼聖者スカイソード	4,0	10,75	2000	5		12		
バトル・コロシアム	0	0		2				
緊急再誕	0	0		3			1	
セイレーン・コンチェルト	1	0		1			1	
転生プログラム	1	0		3			1	
魂縛	2	0		1			1	
魔天降臨	2	0		6			1	
コロッサス・ブースター	3	0		1				
スクランブル・ブースター	3	0		1				
強制突撃	3	0		3			1	
ナチュラル・ブースト	4	0		1				
母なる大地	4	0		3			1	
ネオ・ブレイン	1	0		4			1	
予言者ラメール	0	20	1500＋	2		13		
宣凶師ベリックス	0	13	3000	2		1		
堅防の使徒アースラ	0	10	2000＋	3		13		
俊速の使徒ナイアル	0	10	2500	3				
光器ユリアーナ	0	18	3000	3		1		
粛清者イングベルト	0	16	5500	4		1		
命運の伝導師ラミエル	0	17	3000	5		13		
宣凶師バレイド	0	13	5000	5		11		
聖皇エール・ソニアス	0	13	8000	5	1	3		
アクア・トリックスター	1	35	1000	2		13		
タイム・スカウト	1	33	1000	2				
リバイバル・ソルジャー	1	33	2000＋	3		13		
フォーチュン・ボール	1	25	3000	4				
オカリナ・ハンター	1	33	3000	5		1		
ルナ・レーザーコブラ	1	27	4000	5		11		
ファンタジー・フィッシュ	1	24	2000	7		1	1	
アドラス	1	29	4000	7		13		
ルナ・フォートレス	1	27	6000	7		3	11	
髑髏怪人スピンホイール	2	43	1000＋	2				
邪口虫ラフレシア・ワーム	2	45	2000＋	3		13		
玉砕秘宝バイラ	2	46	5000	3		1		
薔薇公爵ハザリア	2	40	2000	4		13		
邪凶の影ゲイザー・アイズ	2	39	3000	4		11		
略奪秘宝ジャギラ	2	46	3000	5		13		
貪欲秘宝ベラッチャ	2	46	3000	5		9		
鬼面超人エル・アンドレ	2	43	11000	6	1	3	11	
ブラッドのカッター	3	53	1000	2			1	
斬神兵グランドルメス	3	52	2000	3		13		
支援団長ガンクローク	3	58	2000	3		11		
炎舞闘士サピエント・アーク	3	56	2000＋	3		13		
タリスマン・リザード	3	64	3000	4				
ジェット・リザード	3	64	3000＋	4				
超爆合体ダンギルバー	3	53	6000＋	5	1	3		
スカイフレーム・リザード	3	64	4000	6		13		
ダブルソード・レッド・ドラゴン	3	50	9000	7		3		
冒険妖精ポレゴン	4	70	2000	1				
マッチョ・メロン	4	78	1000＋	2		13		
ニンジャ・パンプキン	4	78	2000＋	3		13		
ダイヤモンド・ブリザード	4	70	5000	3	1			
シェル・チャーチ	4	67	2000	4		13		
闘気の棘	4	75	3000＋	4				
ハザード・ホッパー	4	69	5000	4				
ロイヤル・ドリアン	4	78	1000	5			1	
地龍の化身	4	77	4000	5		11		
電脳奇面アンギラー	1,2	35,43	6000	6		12,13		
ソル・チューブ	0	0		1				
エマージェンシー・タイフーン	1	0		2			1	
デビル・メディスン	2	0		4				
滅亡ルーレット	2	0		5			1	
グシャット・フィスト	3	0		4			1	
次元の霊峰	4	0		2				
魂と記憶の盾	0,1	0		3		12		
守護と偶然の象徴	0,1	0		4		12	1	
陰謀と計略の手	1,2	0		4		12		
英知と追撃の宝剣	1,2	0		7		12		
崩壊と灼熱の牙	2,3	0		4		12		
憎悪と怒りの獄門	2,3	0		6		12		
焦土と開拓の天変	3,4	0		5		12		
破壊と誕生の神殿	3,4	0		6		12		
神秘と創造の石碑	4,0	0		3		12		
調和と繁栄の罠	4,0	0		5		12	1	
サイキック・ビジョン	1	0		6				
アストラル・ネビューラ	1	25	5000	6	1			
予言者ファルシ	0	20	1000	2				
宣凶師ベルモーレ	0	13	3500	2		1		
予言者ミズーイ	0	20	2500	3				
宣凶師ビンゴレ	0	13	3000	4				
処罰の精霊ウラルス	0	11	4500	5				
青嵐の精霊バルキア	0	11	7000	5		1		
星雲の精霊キルスティン	0	11	5000＋	7		13		
パッション・マリアッチ	1	33	2000	2				
メロッペ	1	28	1000	3				
フェイト・カーペンター	1	33	1000	3				
ファンキー・ウィザード	1	33	2000	4		1		
バミューダ・クロウラー	1	22	3000	4		1	5	
エクストリーム・クロウラー	1	22	7000	5		3		
タイフーン・クロウラー	1	22	5000	6				
風車男	2	48	2000	3			2	
ギガスラッグ	2	37	1000	3		1,9		
ギガバルザ	2	37	1000	4			1	
ギガレイズ	2	37	2000	4				
爆輪男	2	48	3000	4		13		
黒神龍ザルバ	2	44	5000	4				
ギガブランド	2	37	3000	6				
黒神龍ジャグラヴィーン	2	44	6000	6		1,3		
ビクトリーのナイフ	3	53	2000	3				
ペッペ・ペッパー	3	59	2000＋	3				
閃神兵ラウゼス	3	52	1000＋	4		6		
殴神兵ブロンクス	3	52	3000	4				
独神兵ローンスピナー	3	52	6000	4				
炎神兵ゴリアック	3	52	4000	5		13		
ロンリーのホッチキス	3	53	3000	2				
アラーム・ラディッシュ	4	78	1000	2		13		
覚醒するブレイブ・ホーン	4	76	1000	3		3		
フィーバー・ナッツ	4	78	1000	3				
召集するタートル・ホーン	4	76	2000	3			7	
シャムシャム・カブキリ	4	69	5000	3				
レベリオン・クワキリ	4	69	1000＋	4				
伝承するクローン・ホーン	4	76	3000＋	4				
ウイングアイ・モス	4	69	3000	5				
緑神龍ソウルガルダス	4	66	8000	7				
緑神龍アーク・デラセルナ	4	66	6000	8		3		
電磁賢者シリオン	0,1	13,28	4000	3		12		
超戦攻賢者アギラ	0,1	13,22	5500	4	1	12		
英霊王スターマン	0,1	5	9000	5	5	3,12	2	
電影妖魔ドルメール	1,2	33,48	4000	3		12		
超電磁妖魔ロメール	1,2	28,48	5000	4	1	12		
蛇魂王ナーガ	1,2	7	9000	6	5	2,3,12		
翔天魔獣ギガッピ	2,3	37,59	4000	3		12		
暗黒王デス・フェニックス	2,3	4	9000	4	5	3,12,34		
超機動魔獣ギガランデス	2,3	37,52	6000	5	1	12		
神滅竜騎ガルザーク	2,3	50,44	6000＋	6		3,12		
翔天鎧冑ビトッチ	3,4	59,69	4000	3		12		
太陽王ソウル・フェニックス	3,4	4	13000	4	5	5,12		
超神機鎧冑ゼノメノン	3,4	53,69	5000	6	1	12		
勇猛幻風グリタリス	4,0	76,21	4000	3		12		
超剛勇幻風ジャガスター	4,0	78,21	5500	4	1	12		
聖獣王ペガサス	4,0	6	12000	6	5	5,12	2	
ラッキー・ダーツ	0	0		1				
クローン・ライトニング	0	0		3		14	1	
クローン・スパイラル	1	0		4		14		
エニグマ・カスケード	1	0		4				
クローン・バイス	2	0		3		14		
フューチャー・スラッシュ	2	0		7				
クローン・クラッシュ	3	0		5		14		
ドラゴン・シャウト	3	0		6				
新星の精霊アルシア	0	11	4000	5				
フィスト・ブレーダー	1	33	2000	1		1		
黒神龍ゼキラ	2	44	5000	3				
ギガジラス	2	37	2000	4			2	
建機男	2	48	3000	4				
黒神龍バグラザード	2	44	9000	5				
黒神龍バズラデューダ	2	44	7000	7		3		
ゲットのノコギリ	3	53	2000＋	2				
キッキ・ヤコッピ	3	59	2000	3				
紅神龍ガルドス	3	62	5000	3		6		
ボルスレッド・ファイアー・ドラゴン	3	50	7000	7		3	2	
緑神龍ザールベルグ	4	66	5000	9				
予言者リエーレ	0	20	1000	2				
結界の守護者クレス・ドーベル	0	12	2000＋	2		1		
予言者ポラリス	0	20	2000＋	3				
宣凶師ルベルス	0	13	2500	3				
宣凶師ドロシア	0	13	3000	4				
天恵の精霊アステリア	0	11	6000	5		1		
パシフィック・チャンピオン	1	33	5000	2	1			
バイバイ・アメーバ	1	25	1000	3				
パルピィ・ゴービー	1	24	3000	3		1		
インスペクト・シード	1	24	3000	4		11		
ゼリーム・クロウラー	1	22	4000	5				
骨折人形トロンボ	2	42	1000	2		13		
爆弾人形ニヤーリ	2	42	1000	2				
血土の無僧ザハク	2	41	2000＋	4				
怒璃流男	2	48	3000	4				
死皇帝ベルセバ	2	40	8000	6	1	3		
我狼兵ラングレン	3	56	4000	2				
ジョーのツールキット	3	53	1000	2				
剣撃士ザック・ランバー	3	56	1000＋	2				
メッツァーのアイロン	3	53	1000	3				
照準野郎ジルバ	3	58	2000	3		11		
龍炎鳳エターナル・フェニックス	3	4	11000	5	5	3		
スピリチュアルスター・ドラゴン	3	50	8000	7		3		
薫風妖精コートニー	4	70	2000	2				
反撃妖精ポコペン	4	70	2000	2				
地脈の超人	4	68	1000＋	4				
トキシック・ワスプ	4	69	3000＋	4				
妖蟲幻風ギュネール	0,2	21,45	2500	4		1,9,12		
邪脚護聖ブレイガー	0,2	12,47	3000	4		12		
妖魔賢者メルカプ	0,2	13,48	4000	6		12	4	
悪魔聖霊アウゼス	0,2	11,41	6500	6		3,12,15		
悪魔聖霊バルホルス	0,2	11,41	6000	8		1,12		
勇猛妖魔アニマトレイン	2,4	48,76	4000	2		12		
剛勇傀儡ガシガシ	2,4	42,78	2000	3		12		
無双恐皇ガラムタ	2,4	40,66	5000	6		12,15		
放出のゲッチェル	2,4	8	7000	6		3,12	2	
吸引のシーリゲル	2,4	8	7000	6		3,12	2	
勇騎恐皇フォルテ	2,3	40,58	6000	10		3,12	3	
電磁無頼アカシック・サード	4,1	28,75	1000	2		12		
永刻のクイーン・メイデン	4,1	8	6000	3	1	3,12		
電磁霊樹アカシック・セカンド	4,1	28,77	3000	5		12		
霊樹海嶺ガウルザガンダ	4,1	34,77	5000	5		12,15		
剛撃戦攻ドルゲーザ	4,1	22,68	9000	8		3,12,15		
一徹のジャスパー	1,3	8	1000	2		12		
猛菌剣兵チックチック	1,3	25,56	1000	4		6,12	2	
電磁旋竜アカシック・ファースト	1,3	28,62	6000	7		12,15		
機動賢者キーン	3,0	13,52	4000＋	3		1,12		
血風神官フンヌー	3,0	16,64	3500	3		1,6,12		
雷炎賢者エイジス	3,0	13,51	5000	4		1,12		
機動聖者ミールマックス	3,0	10,52	3000	6		12		
聖霊龍騎アサイラム	3,0	11,50	6000	6		3,12,15		
血風聖霊ザーディア	3,0	11,64	5500	9		12,15		
無双竜機ドルザーク	3,4	50,66	7000	6		3,12		
マジカル・ポット	1	0		1				
ナイトメア・マシーン	2	0		5			1	
ピクシー・コクーン	4	0		2			1	
獣達の挽歌	4	0		4				
天使と悪魔の墳墓	0,2	0		4		12	1	
生命と霊力の変換	2,4	0		5		12	1	
霊鳥と水晶の楽園	4,1	0		2		12		
偶発と弾幕の要塞	1,3	0		5		12		
炎槍と水剣の裁	1,3	0		6		12		
雷撃と火炎の城塞	3,0	0		5		12	1	
予言者キュベラ	0	20	1000	1		1		
聖騎士ミルキーウェイ	0	21	1000	2				
霊山の守護者ビックス	0	12	1000	2				
紫宮の守護者レギ・バエル	0	12	4000?	2		1		
巡霊者メスタポ	0	14	1000	3				
予言者マルタ	0	20	1000	3				
宣凶師パルシア	0	13	2000＋	3				
快癒の使徒リアス	0	10	2500	3		16		
宣凶師レンティア	0	13	2500＋	3		1		
巡霊者キャバルト	0	14	2500	4				
粛清者モーリッツ	0	16	3000	4		16		
光器グラーシャ	0	18	3500	4			2	
太陽の精霊マルシアス	0	11	2000	5				
粛清者エルヴィーネ	0	16	5000	5		16	2	
光器ドミニカ	0	18	9000	5		3		
聖霊王エルフェウス	0	11	9500	5	1	3		
光器メラーニャ	0	18	6000	6		3		
クレセント・アネモネ	1	24	1000	2				
アクア・スパイ	1	35	2000	3		16		
ディープ・ジャグラー	1	33	2000＋	3			2	
ディオーネ	1	29	3000	3		1		
ブルータル・リベンジャー	1	33	3000＋	3		1,16		
パターン・エッグ	1	25	3000-	3		2		
ローザ・ロッサ	1	30	4000	3		1		
デジロン	1	28	1000	4		1	5	
ドルンカ	1	28	2000	4				
